Founded Year,Company,Employees,Website,Industry,Keywords,SEO Description
1934,Double R Bags,31,http://www.doublerbags.com,mechanical or industrial engineering,"offset printing, in house designing studio, screen printing, specialised stitching machines, promotional bags, custom printed bags, custom bags, jute bags, cotton promotional bags, delivery bags, promotional tote bags, messenger bags, trade show bags, custom logo bags, event bag","Since 1934, Double R Bags has been a leading Promotional Canvas Bags manufacturer in India. It is also one of the leading non-woven bag suppliers in the Delhi"
1935,IAHR,48,http://www.iahr.org,civil engineering,"engineering, research, water issues, hydroenvironment","The International Association for Hydro-Environment Engineering and Research (IAHR), founded in 1935, is a worldwide independent organisation of engineers and water specialists working in fields related to the hydro-environmental sciences and their practical application."
1941,York Electric Cooperative,41,http://www.yorkelectric.net,utilities,"utilities, cooperative, economic development, electric service",Your Touchstone EnergyÂ® Cooperative
1945,Global Exporters,38,http://www.globalexporter.com,import & export,export of us food products & export management,"Global Merchandising partners with international brands to export FMCG and agricultural products to the Pacific Rim, Middle East, and beyond."
1946,K&S,8,http://www.ksmetals.com,mining & metals,"hardware stores, home & garden, shopping","K&S Precision Metals serves retail needs for hobby, hardware, or creative motivation. If our stocked products of Brass Tubing, Aluminum Rod, Copper Sheet Metal, or Stainless Steel Strip isn't enough - then send us a message on how we can custom cut your small or large quantity job. RFQs are welcome for your OEM needs!"
1947,DC Fashion,3,http://www.dcfashion.in,apparel & fashion,"bridal lehenga, groom sherwani, mens kurta pyjama, coat pant, indowesterns, womens suit, sarees, lehenga, engagement dress, wedding wear, uniforms, corporate wear, original raymond gift boxes","Welcome to DC Fashion, your ultimate destination for exquisite wedding attire. Discover elegant bridal lehenga and groom sherwanis, meticulously crafted for timeless style and sophistication. Let us make your special day unforgettable with our unparalleled collection of men's and women's wedding clothing in New Delhi."
1948,Modesto Gospel Mission,50,http://www.mymission.org,hospital & health care,"homeless shelter, community feeding, the new beginnings program, children, youth center, meal service, medical clinic, community events, case management, community service/non-profit, local services",Our Goal is to Provide a Place of Refuge for Recovery and Restoration Through the Power and Love of Jesus Christ. We help people heal and stop homelessness.
1949,House of Menghraj,7,http://www.menghraj.com,luxury goods & jewelry,"services for jewels, diamond jewelry, customized jewelry, gold jewelry, retailer & manufacturer, valuers or appraisers, hallmarked & certified jewelry, gemstones, designers, style advisors, birthstones","Discover timeless elegance with Mengraj Jewellers. Shop from a stunning collection of gold, diamond, and bridal jewellery."
1950,Viswa & Devji Diamonds,17,http://www.viswadevji.in,luxury goods & jewelry,"diamonds, jewelry, watches",Viswa & Devji The Best Diamond Jewellers and Diamond Designers in Coimbatore & Chennai produces the latest diamond designs & artistic jewellery designs
1950,The Center for Pursuit,57,http://www.thecenterforpursuit.org,nonprofit organization management,"vocational services, day services, residential services, intellectual disabilities, developmental disabilities, autism, down syndrome, cerebral palsy, idd, vocational training, disabilities, afterschool program, saturday program, social skills, young adult social groups, individual skill & socialization, dahs","The Center for Pursuit promotes the pursuit of choice, growth, and independence for individuals with intellectual and developmental disabilities and autism. Contact us and learn more about our IDD programs and services in Houston, Texas."
1950,Johnson Watch Co.,14,http://www.johnsonandco.in,luxury goods & jewelry,"luxury goods, brand watches, luxury swiss watches, top watch brands, luxury watch showroom, watches accessories, swiss watch brands, steelgold watches, highend swiss watches, mens luxury watches, luxury branded watches for women","Discover timeless elegance with India's premium luxury watch retailer. Explore an exquisite collection of precision-crafted timepieces, blending sophistication and style. Elevate your wrist game with iconic brands and impeccable craftsmanship. Shop now for the epitome of luxury and refinement."
1955,"SDB Consulting, LLC",6,http://www.sdbconsultants.org,architecture & planning,"architects, engineers, planners, consultants","Formerly known as Stein, Doshi & Bhalla the firm today is SDB Consultants. 
 
 With over 60+ years of experience in the profession the firm has a new 
 
 initiative for global collaboration and earth friendly architecture. The 
 
 firm is based in New Delhi & San Francisco."
1957,Bubble Paper,11,http://www.bubblepaper.com,packaging & containers,"recycling, packaging, sustainability, environmentallyconcious solution, biodegradable","Bubble Paper is a leading player in the sustainable packaging industry, dedicated to developing eco-friendly alternatives to conventional packaging materials. Specializing in paper-based products, Bubble Paper combines environmental consciousness with outstanding performance in every design."
1958,Baaamboos,4,http://www.baaamboos.com,apparel & fashion,"party wear shirts, casual shirts, ethinic wear, corporate unifrom, designer shirts",Asopalav Creations
1959,UTV,86,http://www.landmaster.com,mechanical or industrial engineering,"utv, manufacturing, fun karts, offroad vehicles, utvs, side by sides","American made UTVs in Columbia City, Indiana. The best full lineup of UTVs for under $10,000. These UTVs are America's best value when it comes to performance, price, and reliability. Now rated with a best-in-class suspension system"
1960,La'scoot,7,http://www.lascoot.com,apparel & fashion,"mens ethnic wears, mens readymade garments, mens garment manufacturer, pan india garment supplier","Celebrity of Celebrations. High Quality Tailor Made Designer Wears, Suits, Sherwani & More. Catered By Expert Fashion Designers Right At Your Doorstep. Shirts. Blazer & Coats. Kurta Pyjama. Suits. Jacket. Waist Coat. Kurta. Sherwani."
1961,The Senior Source,86,http://www.theseniorsource.org,individual & family services,"long term care ombudsman program, foster grandparent program, senior companion program, senior employment program, guardianship program, money management program, advocacy group for elders, rsvp, elder care partners, caregiver support",Learn about resources for seniors in Dallas through The Senior Source. We offer support for older adults and their family caregivers.
1963,Scientific Mes-Technik,87,http://www.scientificindia.com,electrical/electronic manufacturing,"oscilloscopes, spectrum analyzers, network analyzers, function generators, digital multimeters, pulse generators, frequency counters, lcr meters, power supplies, emi emc solutions, high voltage testers","Scientific Mes-Technik Private Limited are manufacturers of Test & Measuring instruments which include Oscilloscopes, Spectrum Analyzers, Function Generators, Frequency Counters, Digital Multimeters, LCR Meters, Lab Stations, Lab tools & Accessories and many more in India."
1963,MarketSmith India,59,http://www.marketsmithindia.com,financial services,"stock research, stock investing, can slim, william oneil, stock evaluation, panaray, online investment research tool, equity performance reports, stock charts, stock screening, stock chart pattern recognition","Top stock research platform for investors and traders in Indian stock market. Get access to best stock analysis tools including stock screeners, stock watchlists, chart patterns, fundamental and technical analysis, and many more. Learn stock investing with stock market courses on CANSLIM investing system by William J. O'Neil. Make informed decisions with our top stock advisory services by SEBI registered research analysts. Stay updated with top rated growth stocks, breakout stocks, stocks to watch, IPO stocks, market outlook and stock market news."
1963,TileBathKitchen,62,http://www.bathkitchenandtile.com,building materials,"kitchen remodeling, bathroom remodeling, countertop fabrication, interior design, cabinets, kitchen appliances, tile, plumbing fixtures, kitchen design, bathroom design, kitchen transformations, remodeling supplies, kitchen supplies, bathroom supplies, factory direct pricing, design inspired spaces, vanities, design, home remodels, commercial cabinetry fabrication",Our kitchen and bathroom cabinet company can help you secure factory-direct products for your next remodeling project. Contact BKT for more information!
1965,Hengdao Technology,6,http://www.hengdasilane.com,chemicals,"fiberglass sizing agent, modified resin reinforcing agents, adhesion promoters, additive, foudry resin addtive, glass fiber sizing agent, silance, filler treatment, adhesion promoter, coupling agent, silance coupling agent, other customized products, silane, silane coupling agent, resin modifier","HENGDA Chemical is the first silane manufacturer in China since 1965. HENGDA products include 3 series: Silane Coupling Agents, Cross-linking Agent and Silicone Fluid."
1966,KNNX,67,http://www.knkx.org,media production,"jazz, blues, npr news, local news, public radio, radio, storytelling, mass media, radio stations","Listener-supported KNKX delivers jazz, blues and NPR news on air and online from its studios in Seattle and Tacoma, Washington. Listen at 88.5 FM and at KNKX.org."
1966,SCPACK GROUP,8,http://www.scpack.fr,packaging & containers,"packaging, emballage, pet, pehd, emballage recycle, bouteille verre, flaconnage, decoration emballage, bib, jerrycan, flacon pet, rpet, cosmetique, vin et spiritueux, industrie, spirits, pharmacie, serigraphie, gobeleterie, pompes, ibc","SC Pack, Connecting Packaging Leader. Notre objectif : vous apporter la solution packaging clÃ© en main selon votre besoin."
1967,Move United,87,http://www.moveunitedsport.org,nonprofit organization management,"adaptive sports, paralympics, wounded warriors, disabled sports, disabilities, disabled, wheelchair sports","Established in 1956, Move United uses the power of sports to push what's possible so everyone, regardless of ability, has equal access to sports and recreation in their community."
1969,Amrut Creations,8,http://www.amrutindia.com,marketing & advertising,"graphic design, branding, packaging, printing, marketing & advertising","Branding and Marketing Agency in Rajkot, Gujarat, India for creative graphic designing, advertising, 3D animation, Corporate & product videos, digital marketing, architecture work, packaging solution, corporate gifting. Highly specialized in tiles, sanitaryware and bath fittings branding & marketing communication with over 2 decades of experience. Tile designing specialist agency in Rajkot."
1970,Quad City Arts,14,http://www.quadcityarts.com,nonprofit organization management,"arts & entertainment, festivals","Quad City Arts is a non-profit arts advocacy organization that operates visual arts galleries, community events, re-granting programs, an educational residency program presenting multi-disciplinary performing arts, and activates public spaces through a sc"
1970,AKF Plant Sciences,6,http://www.akfps.com,research,"agriculture, biotechnology, horticulture, tissue culture, farming",AKF
1971,Brothers Redevelopment,61,http://www.brothersredevelopment.org,nonprofit organization management,"affordable housing for seniors & persons with disability, home maintenance, repair, housing counseling, property management, housing navigation for consumers, aging in place",Brothers Redevelopment is a Denver-based nonprofit that provides housing and a variety of housing-related services for the region's low-income residents.
1971,Medical Developments International Ltd.,80,http://www.medicaldev.com,pharmaceuticals,"pain relief, analgesia, asthma & copd management, oxygen delivery, carbon dioxode absorbers, veterinary anaesthetic machines, green whistle","We develop and distribute innovative medical devices in acute pain relief and respiratory products, that improve quality of care for patients worldwide."
1972,NITC,27,http://www.nitcgroup.com,import & export,"exporter of ladies, kids garments","NITC Group Where Fashion Begins, NITC Group India."
1972,AutoTec,61,http://www.autotecinc.com,machinery,"finishing equipment, inmold labeling, material handling, robotics, palletizing, depalletizing, conveyors, sortation, fanuc robotics, kuka robotics, system integration, otto robotics, mir robotics, autonomous mobile robot system integrator, roll handling, specialty roll handling, automatic stretch wrap systems, on the fly palletizing, case building","Founded in 1972, Autotec Engineering has a long history supplying engineered solutions and custom machines."
1972,Betech Korea,70,http://www.btechavmounts.com,electrical/electronic manufacturing,"av mounting solutions, mounts for single displays, video walls, tvs, projectors & loudspeakers, av furniture, av care & cleaning","The B-Tech International Group is a world leading designer, manufacturer and distributor of Professional Audio Video Mounting solutions."
1973,Kalnirnay,10,http://www.kalnirnay.com,publishing,"calmanac, books, panchangs, calendars","Kalnirnay is a yearly almanac with 7 Language editions for all religion calendars with auspicious dates, Tithis, Panchang, National holidays and Festivals."
1973,Stone Soup,5,http://www.stonesoup.com,publishing,"childrens writing, childrens creativity, publishing, creative writing & original art by children, literary magazine, writing workshops, childrens fiction, young adult fiction, book club, childrens art",100% written and illustrated by kids ages 6-13
1974,J P Chawla & Co.,66,http://www.jpc.co.in,financial services,"business intellitence, taxation, audit, risk, assurance, regulatory, transaction advisory, doing business in india, startup india, transfer pricing, merger, acquisition, accounting outsourcing, payroll outsourcing, international taxation, management consultancy, ifrs, us gaap, fema advisory, cyber security advisory, cyber security audit, market research, goods, services tax, ind as advisory","At J P Chawla & Co. LLP, we are a dedicated team of professionals empowering your business success. With a wide range of assurance, tax, accounting & regulatory services."
1974,Pune Instrumentation,25,http://www.puneinstrumentation.in,information technology & services,efficiency,"Snubber Testing & Installation, Hydraulic Shock Absorber,Flowmeter,industrial valves,temperature regulator,water level controller"
1974,MSLG Labs,19,http://www.medallionlabs.com,food & beverages,"food testing, shelf life studies, nutritional labeling, food safety analysis, food production quality","Expertise, accuracy, and elevated service govern Medallion Labs' food testing servicesâ€”shelf life studies, nutritional labeling, and food safety tests."
1974,Hurom,8,http://www.hurom.com,electrical/electronic manufacturing,"e-commerce, retail, consumer electronics, consumer goods, consumers, consumer internet, hardware, information technology, internet","Hurom is an industry leader in slow juicers, backed by 50 years of research. Shop the official online store and make your own fresh, nutritious juice today."
1974,Converteca,7,http://www.converteraccessory.com,machinery,"wrinkle removal equipment, pneumatic trim removal equipment, core & roll support, slitting equipment, converting equipment, antiwrinkle rollers, bowed rollers, core chucks & core shafts, dancer rollers, nip type antiwrinkle systems, nip rollers, spreader rollers, trim conveying equipment",Converter Accessory Corporation design and manufacture converting equipment. Durable and cost effective solutions.
1975,Sustainable Food Center,61,http://www.sustainablefoodcenter.org,"health, wellness & fitness","community garden training, support, cooking & nutrition classes, farmers markets, sustainable agriculture, arts & crafts, community gardens, community service/non-profit, cooking classes, farmers market, food, local services, shopping","Transforming food access in Texas through policy, farming, farmer's markets, school programs, and cooking skills."
1975,LUNARS,50,http://www.lunars.com,apparel & fashion,"best entrepreneur award 20112012 from the director of industries, commerce, govt of kerala, state consumer protection award for manufacturing consumer products, business excellence award 20122013, vanijya ratna award by southern vanijya federation, trivandrum, business man of kerala award by indian junior chamber, zone20, best entrepreneur award by kerala state small industries association, vijayasree award by kerala vyapari vyavasayi ekopana samiti",LUNARS
1975,Salvus Bioresearch Solutions,9,http://www.salvusbioresearch.com,research,"clinical trials, advance diagnostics, home collection facility, pathology laboratory, nabl lab, preventive healthcare, cap accredited lab, blood tests, central laboratory services, microbiology, corporate wellness program","Welcome to SALVUS Bioresearch Solutions LLP, a cutting-edge, CAP & NABL accredited Pathology & Microbiology Laboratory."
1975,HolyWeaves,3,http://www.holyweaves.com,apparel & fashion,"mens pocket squares, scarves, handwoven sarees, handwoven fabrics, handwoven sarees & handwoven fabrics","HolyWeaves, Benares, is Indiaâ€™s leading manufacturer, exporter, and wholesaler of premium handwoven textiles since 1975. For our online store, we have brought our best Sarees, Scarves, Fabrics, Mens Pocket Squares and Dresses to your fingertips. We ship to most countries with DHL Express Shipping."
1975,Smit Cards,6,http://www.smitcards.com,marketing & advertising,"web development, videos, graphic design, printing, brand manual, catalogue, packaging design, brochure, branding, social media post, labels stickers, digital marketing","Smit cards is one of the best companies for printing, graphics or branding. Increase your company brand identity through printing and graphics services."
1976,Bestprep,47,http://www.bestprep.org,nonprofit organization management,"education, business, career, financial literacy","BestPrep provides educational programs to prepare students with business, career & financial literacy skills through hands-on experiences."
1976,Yak Carpet,4,http://www.yakcarpet.in,retail,"carpets, rugs, handmade carpets & rugs, anitique carpets, interior design, home & garden, silk carpet, afghanistan carpets, persian carpets, kashmir carpets, handmade rugs from india, indian handmade carpets, kilims, dhurrie",Best Carpet Shop in Delhi - Yak Carpet is one of the biggest handmade Carpet Manufacturer and rug Exporter in India.
1977,Rise Recovery,29,http://www.riserecovery.org,mental health care,"drug & alcohol recovery, prevention, education, young adults, teens, community centers, leadership development, youth, parents, help & guidance for loved ones, adolescents, siblings of those in recovery, direct recovery services, in school programming","Rise Recovery offers free programs in San Antonio to help teens, young adults, and families overcome the effects of drugs and alcohol through support, education, and prevention."
1977,C MARC,40,http://www.cmarcindia.com,market research,"market research, prescription research, analysis, portfolio optimization, development, strategic marketing for pharmaceuticals, sales force effectiveness","Prescription data research & prescription audit to 
  provide strategic insights to pharmaceutical companies for effective brand promotion strategies."
1977,EPIC Business,3,http://www.epicbusinessessentials.com,retail,"federal, dobe, breakroom supplies, national contracts, sbe, wbe, mbe, community, furniture, sales acceleration, mbewbedbe, mro, healthcare, office supplies, private sector, group purchasing organization, education, local service, commercial, jansan, small business, diversity, public sector, vbe, hub, cost optimization","EPIC Business Essentials is the nationâ€™s largest force of independent dealers who are here to provide you with a buying experience like no other, an experience that is, wellâ€¦EPIC!"
1978,Anchrom Enterprises,62,http://www.anchrom.in,civic & social organization,"chromatography, hptlc, nir, thin layer chromatography, food analyser, water analysis equipment, continuous flow analyser, discrete analyser, tlc, herbal lab quality, ayush, soil testing equipment, environmental water testing equipment, pharmaceutical 21 cfr, forensic testing equipment, nutraceutical quality testing",We supply & distribute state-of-the-art laboratory equipment in India. We sell HPTLC and flow analysis machines. Get a quote today. Call 9833830898.
1978,Project Engineering & Controls Pvt. Ltd. (PECPL),4,http://www.pecpl.tech,civil engineering,"geophysical, topographical contour surveys, soil measurements, water assessments, soil sampling, geotechnical investigations, hydrological survey, transmission distribution line, subsurface environmental assessments, engineering services, construction, hydrogeological, topographic survey, detailed project report, sediment analysis, integrated steel plants","Project Engineering & Controls Pvt. Ltd. (PECPL) is an ISO 9001: 2015 certified multidisciplinary company consisting of consulting engineers including geologists, hydrogeologists and surveyors. The company is in operation since 1978 and has built up an impressive list of credentials over past number of decades.."
1979,Tex Biosciences,51,http://www.texbiosciences.com,chemicals,"animal feed additives, water & waste water treatment probiotics, detergent enzymes, water & waster water treatement chemicals, biotechnology, pulp & paper chemicals, enzymes, probiotics, manufacturing, chemicals, leather enzymes, leather chemicals, pulp & paper enzymes","Tex Biosciences is the best enzyme manufacturer & supplier we also manufacture Probiotics & Specialty Chemicals. We export enzymes, probiotics & speciality chemicals across the globe."
1979,Sonarome,95,http://www.sonarome.com,food & beverages,"flavors, fragrances, ingredients, flavours, aroma, top note, masking, innovation","Litho is a clean and modern design, BootStrap 5 responsive, business and portfolio multipurpose HTML5 template with 37+ ready homepage demos."
1979,Anderson Printing House,33,http://www.andersonindia.com,printing,"corporate, publishing & commercial printing & annual reports, corporate prfiles, catalogues, brochures, art books, magazines, calendars, etc","anderson is a highly creative, modern, visually stunning and Bootstrap responsive multipurpose agency and portfolio HTML5 template with 25 ready home page demos."
1980,MediRent,44,http://www.medirents.net,hospital & health care,"ventilator, oxygen, enteral feeding, suction machine, apnea monitor, hospital bed, urology supplies, pipap st, pipap, cpap, pulse oximeters, medical equipment, medical supplies, cough assist, feeding gravity bag, feeding tubes, nebulizer, wheelchair, oral formula, incontinence supplies, wound care supplies, pharmacy","Medi-Rents & Sales serves the home medical equipment and supplies needs of patients of all ages in Virginia, Washington DC and Maryland."
1980,Arbeits Group,7,http://www.arbeitsgroup.com,international trade & development,"hand safety, personal protective equipments, safety gloves manufacturer, work gloves, welding gloves, leather safety gloves, award winning exporter, high performance products, heat resistant gloves, welding apparels, high quality welding jackets, winter gloves","Arbeits Group is a leading Leather Gloves Manufacturer in India offering wide range of safety gloves, industrial gloves, Welding Gloves, Construction Gloves."
1980,India International Garment Fair,7,http://www.indiaapparelfair.com,apparel & fashion,"garment buyer, cloth, fashion, garment fair, apparel sourcing","India International Garment Fair, an ultimate Buyer-Seller platform to meet the sourcing requirements of Apparel and Fashion Accessories world wide."
1980,Sunnex Jeans,9,http://www.sunnexjeans.com,apparel & fashion,"jeans, cotton trousers, casual shirts","Step into style with Sunnex Jeans. Our premium denim collection offers comfort and cutting-edge fashion for men and women. Whether you're dressing up for a night out or keeping it casual, Sunnex Jeans provides the perfect fit and quality. Shop Sunnex jeans now and elevate your wardrobe with the best in denim fashion."
1981,Youngman Group,22,http://www.youngmanwm.com,textiles,blankets & home decor,"Youngman is one of the leading mink blankets, fleece blanket, flannel blankets, hospital blankets, rabbit fur throws, sherpa throws & hi pile fabrics manufacturers and exporters in India. Established in 1981, an ISO 9001-2015 and SEDEX certified, the company is today one of the largest manufacturers of mink blankets, printed mink blankets, raschel blankets and hi-pile fabrics in India."
1981,Velcord,29,http://www.corduroy.in,textiles,"velveteen fabrics, corduroy fabrics, corduroy fabrics & velveteen fabrics","Discover Velcord Textiles, India's premier manufacturer of high-quality, sustainable, organic Corduroy & Velveteen fabrics."
1981,Messung Workplace Technology,12,http://www.messungworkplacetechnology.com,electrical/electronic manufacturing,"test, measuring solutions, electronic assembly, workplace ergonomics, cleanroom ergonomics, esd workstation, esd chair, esd trolley","Enabling and empowering excellence for industrial automation, power distribution, workplace ergonomics, test and measuring equipment and home, office & hotel automation."
1981,The Rose Group,65,http://www.therosegroup.in,luxury goods & jewelry,"luxury, jewellery, luxury watches, retail, fashion watches, fashion accessories, fashion jewellery, distribution, brand management","The Rose Group of Companies is one of India's Leading Purveyors of Fine Jewellery, Luxury Watches and Accessories based out of Mumbai, India. Discover more."
1981,JLE Truckwash,12,http://www.jletruckwash.com,transportation/trucking/railroad,"fleet washing, trailer decal removal, fda fsma compliant washing services, yard tractor rental oregon, washington, steam cleaning facility portland oregon, yard tractor repair & maintenance, reefer trailer wash outs, sumner washington public truck wash, portland oregon public truck wash, truck detailing, yellow iron cleaning","Keep your fleet clean and sparkling with JLE Truckwash. We specialize in commercial vehicle cleaning, and also offer yard spotters rental and repair."
1981,Tarrant Area Food Bank,95,http://www.tafb.org,nonprofit organization management,"provide food assistance to those in need, fund raising, community relations, create awareness on food insecurity in our community",Tarrant Area Food Bank serves a million meals a week and is the primary source of donated food for hunger-relief charities and programs.
1981,AARA Couture,1,http://www.aaracouture.in,apparel & fashion,"gharara, party wear, lehengas, indo western, engagement dress, engagement anarkarli, sangeet lehengas, engagement lehengas, wedding gowns, gowns, bridal lehengas, salwar suits, anarkali, mehendi dress",Ethnic Wear For Women.
1982,Northwest Housing Alternatives,47,http://www.nwhousing.org,nonprofit organization management,"affordable housing development, homeless intervention services, rehabilitation, renovation of multiunit properties, resident services","To succeed in life, everyone needs a place to call home. Northwest Housing Alternatives provides affordable housing and social services in Oregon."
1982,NK Technologies,20,http://www.nktechnologies.com,electrical/electronic manufacturing,"current sensing, current tranducers, current sensors, current switches","NK Technologies produces UL, CE, & RoHS certified Current Sensors to measure current, voltage and power for factory and industrial automation markets."
1982,Wichita Falls Area Food Bank,30,http://www.wfafb.org,nonprofit organization management,"kids cafe, fighting hunger, powerpak 4 kids, food drives, nutrition education, childhood hunger, feeding america, produce express",Serving the Wichita Falls community as a 501(c)(3) organization focused on feeding hungry people.
1982,Leadership Education For Asian Pacifics,46,http://www.leap.org,nonprofit organization management,"capacity building, leadership development, leadership development & capacity building, community service/non-profit, local services","Founded 1982, LEAP (Leadership Education for Asian Pacifics) is a national 
 
 nonprofit organization with a mission to achieve full participation and 
 
 equality for Asian and Pacific Islanders (APIs) through leadership, 
 
 empowerment, and policy."
1982,Weld Food Bank,31,http://www.weldfoodbank.org,nonprofit organization management,hunger relief organization,"Discover Weld Food Bank, dedicated to fighting hunger in Weld County. Join us in providing meals, resources, and hope to families, seniors, and children in need. Together, we can make a difference in our community."
1983,Sreepriya Exports,41,http://www.sreepriyaexports.com,apparel & fashion,"hand embroidery, machine embroidery, embroidered garments, printed garments, garment construction, computer embroidery, hand weaving, block printing, screen printing, digital printing","Hand Embroidery has been Sreepriya Exportâ€™s specialization for 35 years and we work with luxury designers in Europe, USA, UK, Japan and Australia."
1983,Miras Crafts,2,http://www.mirascrafts.com,wholesale,"handmade carpets, hand knotted carpets, contemporary carpets, carpet dealers in bangalore, carpet manufacturers in bangalore, buy carpets from india, carpets for hotels, floor carpets, customised carpets, design carpets india, handmade carpets from india, carpet stores in bangalore, best carpet flooring solution in bangalore, carpets in bangalore with price, carpets, rugs, woolen handmade rugs, flat weaves, silk handmade rugs, flat weave carpets, best carpet stores in bangalore","Selling Since 1983 in Carpets, Rugs & Pashmina Shawls Dealers in Bangalore. 9000+ carpet & rugs on display with wide range Starts from 1999**"
1984,121 Finance,28,http://www.121finance.com,financial services,"financial services, nbfc, working capital loans, factoring, fintech, finance, lending, working capital, working capital management, msme loans, sme loans, invoice financing, bill discounting, invoice discounting, bnpl","121 Finance offers working capital finance, channel finance, purchase finance, bill/invoice discounting & factoring finance to SMEs/MSMEs"
1984,Arizona Friends of Foster Children Foundation,25,http://www.affcf.org,individual & family services,"arts & entertainment, festivals",Support kids in foster care with AFFCF in Phoenix. Your donation helps provide essential resources and improve the lives of foster children. Donate today!
1984,OSB LifeSciences,14,http://www.osbindia.com,research,"specialty diagnosis, oncology, veterinary diagnosis, immunohistochemistry, hemostasis coaglulation, food & feed, hemostasis amp coaglulation, drug discovery, elisa, pcr based hla typing, stem cell research",Assisting R&D with relevant research resources.
1984,Connections for the Homeless,69,http://www.connect2home.org,nonprofit organization management,"supportive housing, education & employment services, transitional shelter, prevention","Connections for the Homeless serves and catalyzes our community to end homelessness, one person at a time. We provide homelessness prevention, housing, and shelter. Based in Evanston, IL, and serving 38 communities in north suburban Cook County, Conn"
1984,The Samaritan Inn,79,http://www.saminn.org,nonprofit organization management,"homeless, homeless shelter, homeless program, gateway apartments",The Samaritan Inn is a comprehensive housing program that supports individuals in realizing dignity and gaining independence.
